codigo_antiguo;codigo_nuevo;codigo_madre;codigo_madre2;codigo_region;region;seremi;perteneciente;TipoEstablecimiento;dependencia;nivel;nombre;codigo_comuna;nombre_comuna;Fecha Vigencia (Desde);codigo_ss_region
08-208;108208;;;5;De Valparaíso;SEREMI De Valparaíso;No Perteneciente;Centro de Salud;Privado;No Aplica;Policlínico de la Asociación Chilena de Seguridad AChS Agencia Los Andes;05301;Los Andes;01-01-2009;5
08-300;108300;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Urbano;Servicio de Salud;Primario;Centro de Salud Familiar Llaillay;05703;Llaillay;01-01-2009;8
08-301;108301;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Rinconada;05303;Rinconada;01-01-2009;8
08-302;108302;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar San Esteban;05304;San Esteban;01-01-2009;8
08-303;108303;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Dr. Eduardo Raggio Lanata;05702;Catemu;01-01-2009;8
08-304;108304;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Valle de Los Libertadores;05705;Putaendo;01-01-2009;8
08-305;108305;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Urbano;Servicio de Salud;Primario;Centro de Salud Familiar San Felipe El Real;05701;San Felipe;01-01-2009;8
08-306;108306;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Urbano;Servicio de Salud;Primario;Centro de Salud Familiar Cordillera Andina;05301;Los Andes;01-01-2009;8
08-307;108307;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Centenario;05301;Los Andes;01-01-2009;8
08-308;108308;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar José Joaquín Aguirre;05302;Calle Larga;01-01-2009;8
08-309;108309;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Santa María Dr. Jorge Ahumada Lemus;05706;Santa Maria;01-01-2009;8
08-310;108310;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Curimón;05701;San Felipe;01-01-2009;8
08-311;108311;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar María Elena Peñaloza Morales;05704;Panquehue;01-01-2009;8
08-312;108312;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Dr. Segismundo Iturra Taito;05701;San Felipe;01-01-2009;8
08-401;108401;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Cariño Botado;05304;San Esteban;01-01-2009;8
08-402;108402;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Campos de Ahumada;05304;San Esteban;01-01-2009;8
08-403;108403;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Río Colorado;05304;San Esteban;01-01-2009;8
08-404;108404;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Río Blanco (Los Andes);05301;Los Andes;01-01-2009;8
08-405;108405;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural San Vicente (Calle Larga);05302;Calle Larga;01-01-2009;8
08-406;108406;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Piguchén (Putaendo);05705;Putaendo;01-01-2009;8
08-407;108407;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Guzmanes;05705;Putaendo;01-01-2009;8
08-409;108409;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Santa Filomena (Santa María);05706;Santa Maria;01-01-2009;8
08-410;108410;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural La Orilla (Putaendo);05705;Putaendo;01-01-2009;8
08-411;108411;;;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Quebrada de Herrera;05705;Putaendo;01-01-2009;8
08-700;108700;08-302;108302;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Lo Calvo;05304;San Esteban;23-08-2011;8
08-703;108703;08-303;108303;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Los Cerrillos;05702;Catemu;01-01-2009;8
08-707;108707;08-307;108307;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Juan Pablo Segundo;05301;Los Andes;01-01-2009;8
08-709;108709;08-309;108309;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Las Cadenas;05706;Santa Maria;01-01-2009;8
08-712;108712;08-312;108312;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Quebrada Herrera;05701;San Felipe;01-01-2009;8
08-811;108811;08-312;108312;5;De Valparaíso;Servicio de Salud Aconcagua;Perteneciente;;Municipal;Primario;SAPU San Felipe;05701;San Felipe;30-09-2009;8
09-010;109010;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Norte);13108;Independencia;01-01-2009;9
09-011;109011;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Servicio de Salud;No Aplica;PRAIS (SS Metropolitano Norte);13108;Independencia;01-01-2009;9
09-012;109012;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Clínica Dental Móvil;Servicio de Salud;Primario;Clínica Dental Móvil Simple. Pat. PW4082 (TilTil);13303;Tiltil;01-01-2009;9
09-100;109100;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Complejo Hospitalario San José (Santiago, Independencia);13108;Independencia;01-01-1980;9
09-101;109101;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);13108;Independencia;01-01-2009;9
09-102;109102;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Instituto Psiquiátrico Dr. José Horwitz Barak (Santiago, Recoleta);13127;Recoleta;01-01-2009;9
09-103;109103;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa (Santiago, Recoleta);13108;Independencia;01-01-2009;9
09-104;109104;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Establecimiento Baja Complejidad;Servicio de Salud;Terciario;Hospital de Til Til;13303;Tiltil;01-01-2009;9
09-200;109200;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Hospital (No perteneciente al SNSS);Otra Institución;No Aplica;Hospital Clínico Universidad de Chile;13108;Independencia;01-01-2009;13
09-201;109201;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Clínica;Privado;No Aplica;Clínica Dávila;13127;Recoleta;01-01-2009;13
09-202;109202;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Integramédica Norte;13107;Huechuraba;01-01-2009;13
09-204;109204;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro de Salud Mutual CChC Quilicura;13125;Quilicura;01-01-2009;13
09-205;109205;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Vida Integra Quilicura;13125;Quilicura;01-01-2009;13
09-206;109206;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Asistencial AChS Colina;13301;Colina;01-01-2009;13
09-207;109207;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Policlínico del Trabajador AChS Parque Las Américas;13104;Conchalí;01-01-2009;13
09-208;109208;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Asistencial AChS Quilicura;13125;Quilicura;01-01-2009;13
09-209;109209;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Asistencial AChS Vespucio Oeste;13125;Quilicura;01-01-2009;13
09-210;109210;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Clínica;Privado;No Aplica;Clínica Astra Independencia;13108;Independencia;01-01-2009;13
09-211;109211;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro Médico y Dental;Privado;No Aplica;Centro Médico y Dental Megasalud Conchalí;13104;Conchalí;01-01-2009;13
09-212;109212;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Médico Vivaceta;13108;Independencia;01-01-2009;13
09-213;109213;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Policlínico Instituto de Seguridad del Trabajo de Quilicura;13125;Quilicura;01-01-2009;13
09-300;109300;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Agustín Cruz Melo;13108;Independencia;01-01-2009;9
09-301;109301;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Recoleta;13127;Recoleta;01-01-2009;9
09-302;109302;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Lucas Sierra;13104;Conchalí;01-01-2009;9
09-303;109303;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Quinta Bella;13127;Recoleta;01-01-2009;9
09-304;109304;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Valdivieso;13127;Recoleta;01-01-2009;9
09-305;109305;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar La Pincoya;13107;Huechuraba;01-01-2009;9
09-307;109307;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);13127;Recoleta;01-01-2009;9
09-308;109308;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Alberto Bachelet Martínez;13104;Conchalí;01-01-2009;9
09-309;109309;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar José Symon Ojeda;13104;Conchalí;01-01-2009;9
09-310;109310;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Colina;13301;Colina;01-01-2009;9
09-311;109311;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar José Bauza Frau;13302;Lampa;01-01-2004;9
09-312;109312;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Batuco;13302;Lampa;01-01-2009;9
09-313;109313;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Irene Frei de Cid;13125;Quilicura;01-01-2009;9
09-314;109314;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Juanita Aguirre;13104;Conchalí;01-01-2009;9
09-315;109315;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Manuel Bustos Huerta;13125;Quilicura;01-01-2009;9
09-316;109316;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Esmeralda;13301;Colina;01-01-2009;9
09-317;109317;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar El Barrero;13107;Huechuraba;01-01-2009;9
09-320;109320;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Rural;Municipal;Primario;Centro de Salud Familiar Huertos Familiares;13303;Tiltil;01-01-2009;9
09-321;109321;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Juan Antonio Ríos;13108;Independencia;01-01-2009;9
09-323;109323;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Dr. Salvador Allende Gossens;13107;Huechuraba;01-01-2009;9
09-324;109324;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Municipal;Primario;Centro de Salud Familiar Presidente Salvador Allende Gossens;13125;Quilicura;01-01-2009;9
09-390;109390;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Consultorio General Urbano;Otra Institución;Primario;Centro de Salud Familiar Cristo Vive (ONG);13127;Recoleta;01-01-2009;9
09-407;109407;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Juan Pablo II de Lampa;13302;Lampa;01-01-2009;9
09-410;109410;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural La Capilla de Caleu;13303;Tiltil;01-01-2009;9
09-412;109412;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Montenegro;13303;Tiltil;01-01-2009;9
09-413;109413;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Rungue;13303;Tiltil;01-01-2009;9
09-414;109414;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Polpaico;13303;Tiltil;01-01-2009;9
09-416;109416;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Colorado;13301;Colina;01-01-2009;9
09-417;109417;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Los Ingleses;13301;Colina;01-01-2009;9
09-418;109418;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Las Canteras;13301;Colina;01-01-2009;9
09-419;109419;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Santa Marta de Liray;13301;Colina;01-01-2009;9
09-420;109420;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;Posta de Salud Rural;Municipal;Primario;Posta de Salud Rural Chacabuco (Colina);13301;Colina;01-01-2009;9
09-606;109606;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Independencia;13108;Independencia;01-01-2009;9
09-607;109607;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Conchalí;13104;Conchalí;01-01-2009;9
09-608;109608;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Huechuraba;13107;Huechuraba;01-01-2009;9
09-609;109609;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Recoleta;13127;Recoleta;01-01-2009;9
09-636;109636;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Quilicura;13125;Quilicura;01-01-2009;9
09-640;109640;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Colina;13301;Colina;01-01-2009;9
09-641;109641;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Lampa;13302;Lampa;01-01-2009;9
09-642;109642;09-010;109010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Secundario;COSAM Til Til;13303;Tiltil;01-01-2009;9
09-709;109709;09-309;109309;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Dr. José Symón Ojeda;13104;Conchalí;01-01-2009;9
09-711;109711;09-311;109311;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Sol de Septiembre;13302;Lampa;01-01-2009;9
09-712;109712;09-312;109312;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Batuco;13302;Lampa;01-01-2009;9
09-713;109713;09-324;109324;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar La Foresta;13125;Quilicura;01-01-2009;9
09-715;109715;09-315;109315;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Pucara de Lasana;13125;Quilicura;01-01-2009;9
09-716;109716;09-316;109316;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Esmeralda;13301;Colina;01-01-2009;9
09-718;109718;09-305;109305;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;Centro Comunitario de Salud Familiar Los Libertadores;13107;Huechuraba;01-01-2009;9
09-801;109801;09-301;109301;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAR Recoleta;13127;Recoleta;01-01-2009;9
09-802;109802;09-302;109302;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU Lucas Sierra;13104;Conchalí;01-01-2009;9
09-804;109804;09-304;109304;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU Valdivieso;13127;Recoleta;01-01-2009;9
09-805;109805;09-305;109305;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAR La Pincoya;13107;Huechuraba;01-01-2009;9
09-808;109808;09-308;109308;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU Alberto Bachelet Martínez;13104;Conchalí;01-01-2009;9
09-809;109809;09-309;109309;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAR Conchalí;13104;Conchalí;01-01-2009;9
09-810;109810;09-310;109310;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAR Colina;13301;Colina;01-01-2009;9
09-811;109811;09-311;109311;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU José Bauzá Frau;13302;Lampa;01-01-2009;9
09-813;109813;09-313;109313;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU Nº 2 Irene Frei de Cid;13125;Quilicura;01-01-2009;9
09-815;109815;09-315;109315;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU Nº 1 Rodrigo Rojas Denegri;13125;Quilicura;01-01-2009;9
09-821;109821;09-321;109321;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU Juan Antonio Ríos;13108;Independencia;01-01-2009;9
09-824;109824;09-324;109324;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Municipal;Primario;SAPU Presidente Salvador Allende Gossens;13125;Quilicura;01-01-2009;9
09-890;109890;09-390;109390;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Norte;Perteneciente;;Otra Institución;Primario;SAPU Cristo Vive;13127;Recoleta;01-01-2009;9
10-010;110010;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Occidente);13101;Santiago;01-01-2009;10
10-011;110011;10-010;110010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;;Servicio de Salud;No Aplica;PRAIS (S.S Metropolitano Occidente);13101;Santiago;01-01-2009;10
10-012;110012;10-010;110010;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Clínica Dental Móvil;Servicio de Salud;Primario;Clínica Dental Móvil Simple. Pat. PW4083 (Curacaví);13503;Curacaví;01-01-2009;10
10-100;110100;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital San Juan de Dios (Santiago, Santiago);13101;Santiago;01-01-2009;10
10-110;110110;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Instituto Traumatológico Dr. Teodoro Gebauer;13101;Santiago;01-01-2009;10
10-120;110120;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal);13126;Quinta Normal;01-01-2009;10
10-130;110130;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Establecimiento Mediana Complejidad;Servicio de Salud;Terciario;Hospital Adalberto Steeger (Talagante);13601;Talagante;01-01-2009;10
10-140;110140;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Establecimiento Mediana Complejidad;Servicio de Salud;Terciario;Hospital de Peñaflor;13605;Peñaflor;01-01-2009;10
10-150;110150;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Establecimiento Alta Complejidad;Servicio de Salud;Terciario;Hospital San José (Melipilla);13501;Melipilla;01-01-2009;10
10-160;110160;;;13;Metropolitana de Santiago;Servicio de Salud Metropolitano Occidente;Perteneciente;Establecimiento Baja Complejidad;Servicio de Salud;Terciario;Hospital de Curacaví;13503;Curacaví;01-01-2009;10
10-201;110201;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Clínica;Privado;No Aplica;Clínica Psiquiátrica Santa Cecilia;13101;Santiago;01-01-2009;13
10-219;110219;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro de Salud Mutual CChC Talagante;13601;Talagante;01-01-2009;13
10-268;110268;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Clínica;Privado;No Aplica;Clínica del Trabajador AChS;13501;Melipilla;01-01-2009;13
10-270;110270;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Clínica;Privado;No Aplica;Clínica Los Maitenes;13501;Melipilla;01-01-2009;13
10-271;110271;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro de Salud Mutual CChC Melipilla;13501;Melipilla;01-01-2009;13
10-272;110272;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Clínica;Privado;No Aplica;Clínica Fundación Gantz;13124;Pudahuel;01-01-2009;13
10-273;110273;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro de Salud Mutual CChC Pudahuel;13124;Pudahuel;01-01-2009;13
10-276;110276;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Clínica;Privado;No Aplica;Fundación Vida Nueva (Clínica Psiquiátrica);13605;Peñaflor;01-01-2009;13
10-278;110278;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Asistencial AChS Peñaflor;13605;Peñaflor;01-01-2009;13
10-279;110279;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Privado;No Aplica;Centro Asistencial AChS Talagante;13601;Talagante;01-01-2009;13
10-280;110280;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro Médico y Dental;Público No perteneciente al SNSS;No Aplica;Servicio Médico Dental (S) Armada de Chile;13126;Quinta Normal;01-01-2009;13
10-281;110281;;;13;Metropolitana de Santiago;SEREMI Metropolitana de Santiago;No Perteneciente;Centro de Salud;Otra Institución;No Aplica;Centro de Oncología Preventiva de la Universidad de Chile;13126;Quinta Normal;01-01-2009;13
